timestamp,image_idx,latitude,longitude,altitude
09-02-58-678334,0002211,17.4935210082,78.4106144472,495.685333252
09-02-58-745310,0002212,17.493522907,78.4106127566,495.714752197
09-02-58-810705,0002213,17.4935266409,78.410609217,495.742034912
09-02-58-873940,0002214,17.4935284184,78.4106074835,495.757598877
09-02-58-940795,0002215,17.4935320383,78.4106039774,495.781707764
09-02-59-012645,0002216,17.4935338977,78.4106021836,495.809173584
09-02-59-078722,0002217,17.4935356098,78.4106005223,495.804962158
09-02-59-144345,0002218,17.493539006,78.4105970813,495.82913208
09-02-59-211706,0002219,17.4935406138,78.4105951291,495.855651855
09-02-59-279614,0002220,17.4935422559,78.4105935236,495.852813721
09-02-59-344019,0002221,17.4935453942,78.4105899485,495.895111084
09-02-59-412560,0002222,17.4935468966,78.4105880128,495.898193359
09-02-59-477774,0002223,17.4935484556,78.4105864487,495.915313721
09-02-59-544340,0002224,17.4935513365,78.4105829671,495.933868408
09-02-59-608447,0002225,17.4935525328,78.4105810324,495.957183838
09-02-59-680761,0002226,17.4935539904,78.4105795007,495.953277588
09-02-59-748351,0002227,17.493556449,78.4105760903,495.970611572
09-02-59-811706,0002228,17.4935574603,78.4105742186,495.990783691
09-02-59-881319,0002229,17.4935587962,78.4105727087,495.986297607
09-02-59-947842,0002230,17.4935609135,78.4105694614,496.021362305
09-03-00-012456,0002231,17.4935617595,78.4105677444,496.014465332
09-03-00-077967,0002232,17.4935629621,78.410566256,496.031585693
09-03-00-144409,0002233,17.4935638254,78.4105646842,496.02532959
09-03-00-206706,0002234,17.4935659106,78.4105616507,496.056915283
09-03-00-272711,0002235,17.4935670004,78.4105601883,496.051696777
09-03-00-341568,0002236,17.493568851,78.4105570766,496.062286377
09-03-00-411594,0002237,17.4935694915,78.410555453,496.073547363
09-03-00-479939,0002238,17.4935704625,78.4105539973,496.068084717
09-03-00-545231,0002239,17.4935720008,78.4105509944,496.095153809
09-03-00-612253,0002240,17.4935727015,78.4105494911,496.086181641
09-03-00-679003,0002241,17.4935735337,78.4105480384,496.102966309
09-03-00-747192,0002242,17.4935748678,78.4105451785,496.116271973
09-03-00-808371,0002243,17.4935754045,78.4105437383,496.13671875
09-03-00-879055,0002244,17.4935761061,78.4105422413,496.136383057
09-03-00-945831,0002245,17.4935764227,78.410540685,496.163970947
09-03-01-008151,0002246,17.4935770897,78.4105375469,496.189666748
09-03-01-073115,0002247,17.4935776533,78.4105360434,496.187744141
09-03-01-139549,0002248,17.4935781923,78.4105329489,496.2265625
09-03-01-206735,0002249,17.4935783743,78.4105317254,496.212554932
09-03-01-275026,0002250,17.4935787406,78.4105302319,496.228118896
09-03-01-339927,0002251,17.4935789226,78.410528965,496.201416016
09-03-01-409325,0002252,17.4935793891,78.4105261309,496.204284668
09-03-01-473598,0002253,17.4935795721,78.410524685,496.201507568
09-03-01-546074,0002254,17.4935796152,78.4105217502,496.193603516
09-03-01-617645,0002255,17.4935795995,78.410520292,496.177001953
09-03-01-675309,0002256,17.4935796531,78.4105188363,496.179595947
09-03-01-746356,0002257,17.493579278,78.4105157239,496.186767578
09-03-01-812965,0002258,17.4935788797,78.410514431,496.169586182
09-03-01-880142,0002259,17.4935787683,78.4105129583,496.185150146
09-03-01-948119,0002260,17.4935779663,78.4105101351,496.184539795
09-03-02-016141,0002261,17.4935774727,78.4105087305,496.183654785
09-03-02-077820,0002262,17.4935771544,78.4105072386,496.180419922
09-03-02-142906,0002263,17.4935762628,78.4105044428,496.176513672
09-03-02-208107,0002264,17.4935757317,78.4105031504,496.181945801
09-03-02-278597,0002265,17.4935752086,78.4105016367,496.178710938
09-03-02-344564,0002266,17.4935739833,78.4104988427,496.197662354
09-03-02-407682,0002267,17.4935732565,78.4104975553,496.186584473
09-03-02-476584,0002268,17.4935725378,78.4104960423,496.200592041
09-03-02-539341,0002269,17.4935709387,78.4104931791,496.202423096
09-03-02-612896,0002270,17.493570099,78.4104918156,496.21182251
09-03-02-679358,0002271,17.4935691927,78.4104903076,496.208526611
09-03-02-742634,0002272,17.4935682751,78.4104889373,496.216766357
09-03-02-806094,0002273,17.4935664325,78.4104859999,496.222717285
09-03-02-872075,0002274,17.4935653679,78.4104844855,496.219940186
09-03-02-946352,0002275,17.4935632922,78.4104814573,496.245147705
09-03-03-008029,0002276,17.4935622981,78.410479934,496.239349365
09-03-03-075275,0002277,17.4935611105,78.4104783933,496.251800537
09-03-03-144186,0002278,17.4935588628,78.4104752375,496.261016846
09-03-03-206506,0002279,17.4935576927,78.4104735609,496.271881104
09-03-03-277953,0002280,17.4935563946,78.410471993,496.269989014
09-03-03-341205,0002281,17.4935537037,78.410468617,496.276519775
09-03-03-410491,0002282,17.4935523486,78.4104667865,496.285217285
09-03-03-476022,0002283,17.493550939,78.4104651803,496.283355713
09-03-03-541846,0002284,17.493548027,78.4104617598,496.301483154
09-03-03-610278,0002285,17.4935464768,78.4104599457,496.289154053
09-03-03-678691,0002286,17.4935449673,78.4104582902,496.301605225
09-03-03-744891,0002287,17.4935434414,78.4104564232,496.289672852
09-03-03-806350,0002288,17.4935402226,78.4104527835,496.303100586
09-03-03-872330,0002289,17.493538627,78.4104510616,496.301544189
09-03-03-941722,0002290,17.4935353666,78.4104474267,496.302215576
09-03-04-006561,0002291,17.4935336998,78.4104455182,496.309356689
09-03-04-076356,0002292,17.4935320275,78.4104437359,496.305969238
09-03-04-139742,0002293,17.4935286618,78.4104399919,496.32208252
09-03-04-206764,0002294,17.4935268793,78.4104380322,496.316986084
09-03-04-278407,0002295,17.4935251434,78.4104361778,496.326782227
09-03-04-344502,0002296,17.4935234165,78.4104341171,496.323272705
09-03-04-412240,0002297,17.4935199473,78.4104301801,496.345916748
09-03-04-474113,0002298,17.4935181528,78.4104282543,496.343597412
09-03-04-542210,0002299,17.4935145509,78.4104242379,496.352935791
09-03-04-612235,0002300,17.4935126869,78.4104221048,496.367431641
09-03-04-684475,0002301,17.4935108278,78.4104201079,496.363830566
09-03-04-747026,0002302,17.4935070211,78.4104159075,496.388824463
09-03-04-807478,0002303,17.4935050421,78.4104137329,496.390197754
09-03-04-880902,0002304,17.4935031138,78.4104116671,496.399536133
09-03-04-949027,0002305,17.4934991815,78.4104073872,496.409545898
09-03-05-016612,0002306,17.4934971026,78.4104052193,496.421264648
09-03-05-080425,0002307,17.4934951059,78.4104030953,496.418884277
09-03-05-139340,0002308,17.4934929396,78.4104008783,496.428314209
09-03-05-206688,0002309,17.4934888248,78.4103964071,496.438812256
09-03-05-274932,0002310,17.4934868,78.4103942616,496.436828613
09-03-05-345414,0002311,17.4934825958,78.4103897526,496.462249756
09-03-05-415486,0002312,17.4934804302,78.4103874074,496.462432861
09-03-05-475833,0002313,17.4934783015,78.4103851607,496.473327637
