timestamp,image_idx,latitude,longitude,altitude
13-00-06-217517,0000000,17.4963800642,78.4156674157,486.050811768
13-00-06-284378,0000001,17.4963777483,78.4156665273,486.059143066
13-00-06-351798,0000002,17.496376549,78.4156660585,486.063812256
13-00-06-417797,0000003,17.4963753973,78.4156655902,486.058349609
13-00-06-485831,0000004,17.4963729459,78.4156646232,486.048553467
13-00-06-555362,0000005,17.4963717304,78.4156641384,486.049957275
13-00-06-621181,0000006,17.4963703694,78.4156636048,486.040130615
13-00-06-687907,0000007,17.49636784,78.4156625904,486.043273926
13-00-06-754269,0000008,17.4963665405,78.415662086,486.047546387
13-00-06-817865,0000009,17.496365313,78.4156615796,486.046295166
13-00-06-884411,0000010,17.4963627696,78.4156604175,486.059204102
13-00-06-954504,0000011,17.496361514,78.4156598393,486.061706543
13-00-07-018046,0000012,17.4963601928,78.415659411,486.070465088
13-00-07-086406,0000013,17.4963576262,78.4156581976,486.080200195
13-00-07-150767,0000014,17.4963563673,78.4156575594,486.08404541
13-00-07-218538,0000015,17.4963550105,78.4156570621,486.092346191
13-00-07-284643,0000016,17.496352388,78.4156557625,486.104797363
13-00-07-354635,0000017,17.4963510953,78.4156550913,486.108581543
13-00-07-420315,0000018,17.4963498845,78.4156544414,486.111724854
13-00-07-485081,0000019,17.4963472725,78.415653011,486.114776611
13-00-07-551350,0000020,17.4963459499,78.4156523075,486.115753174
13-00-07-622486,0000021,17.4963448451,78.415651471,486.114868164
13-00-07-685198,0000022,17.4963423522,78.4156499407,486.114135742
13-00-07-751271,0000023,17.4963410325,78.4156491695,486.118927002
13-00-07-817462,0000024,17.4963397146,78.4156484058,486.11315918
13-00-07-884457,0000025,17.4963370718,78.4156468732,486.106750488
13-00-07-951002,0000026,17.4963357374,78.4156460312,486.114868164
13-00-08-022210,0000027,17.4963341888,78.4156453764,486.101104736
13-00-08-084112,0000028,17.4963313799,78.4156437373,486.104888916
13-00-08-150867,0000029,17.4963299833,78.4156428541,486.100280762
13-00-08-221899,0000030,17.4963285304,78.4156419376,486.114868164
13-00-08-287462,0000031,17.4963257544,78.4156401257,486.12310791
13-00-08-354067,0000032,17.4963243315,78.4156391857,486.123535156
13-00-08-418090,0000033,17.4963228928,78.4156382461,486.125183105
13-00-08-484766,0000034,17.4963200244,78.4156363994,486.128875732
13-00-08-554701,0000035,17.4963185632,78.4156354042,486.132110596
13-00-08-617980,0000036,17.496317054,78.4156345109,486.134063721
13-00-08-686936,0000037,17.4963140693,78.4156325391,486.143157959
13-00-08-756698,0000038,17.4963125309,78.4156315839,486.147186279
13-00-08-819141,0000039,17.4963110143,78.4156305356,486.151000977
13-00-08-894757,0000040,17.496307968,78.4156285219,486.156768799
13-00-08-951479,0000041,17.4963064191,78.4156274497,486.156768799
13-00-09-018844,0000042,17.4963047998,78.4156264907,486.158660889
13-00-09-089030,0000043,17.496301679,78.4156242339,486.169189453
13-00-09-160791,0000044,17.496300079,78.4156231263,486.174255371
13-00-09-222252,0000045,17.4962984325,78.4156220984,486.178527832
13-00-09-289077,0000046,17.4962950763,78.4156200392,486.188140869
13-00-09-356514,0000047,17.4962934193,78.4156189064,486.189697266
13-00-09-418472,0000048,17.496291844,78.4156178934,486.196014404
13-00-09-488943,0000049,17.4962883274,78.4156157171,486.199645996
13-00-09-557337,0000050,17.4962866148,78.415614572,486.201721191
13-00-09-626949,0000051,17.4962830856,78.4156123616,486.208953857
13-00-09-691451,0000052,17.4962812676,78.4156113238,486.208679199
13-00-09-760272,0000053,17.4962794514,78.4156101871,486.213439941
13-00-09-825655,0000054,17.4962758463,78.4156078482,486.216552734
13-00-09-890703,0000055,17.4962740617,78.415606849,486.229736328
13-00-09-954459,0000056,17.4962722259,78.4156056703,486.231292725
13-00-10-025478,0000057,17.4962684974,78.4156033705,486.24710083
13-00-10-095391,0000058,17.4962666043,78.4156022599,486.261932373
13-00-10-167931,0000059,17.4962646793,78.4156011181,486.272644043
13-00-10-229676,0000060,17.4962608266,78.4155987828,486.289794922
13-00-10-289891,0000061,17.4962588882,78.4155975858,486.292907715
